prompt,chosen,rejected
What materials are required to upgrade the Duelist Greataxe?,"Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Blood Affinity Ashes of War. Elden Ring display values for poison and blood include buildup added by scaling via the Arcane Stat","Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Magic Affinity Ashes of War. This upgrade cannot be enchanted with Magic or boosted with Consumables"
What materials are required to upgrade the Duelling Shield?,"Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Blood Affinity Ashes of War. Elden Ring display values for poison and blood include buildup added by scaling via the Arcane Stat","Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Flame Affinity Ashes of War. This upgrade cannot be enchanted with Magic or boosted with Consumables"
What materials are required to upgrade the Eclipse Crest Greatshield?,"Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Blood Affinity Ashes of War. Elden Ring display values for poison and blood include buildup added by scaling via the Arcane Stat","Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Magic Affinity Ashes of War. This upgrade cannot be enchanted with Magic or boosted with Consumables"
What materials are required to upgrade the Eclipse Crest Heater Shield?,"Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Heavy Affinity Ashes of War. This upgrade can be enchanted with Magic or boosted with Consumables","Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Cold Affinity Ashes of War. This upgrade cannot be enchanted with Magic or boosted with Consumables"
What materials are required to upgrade the Erdsteel Dagger?,"Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Blood Affinity Ashes of War. Elden Ring display values for poison and blood include buildup added by scaling via the Arcane Stat","Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Magic Affinity Ashes of War. This upgrade cannot be enchanted with Magic or boosted with Consumables"
What materials are required to upgrade the Estoc?,"Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone. This upgrade can be enchanted with Magic or boosted with Consumables","Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Fire Affinity Ashes of War. This upgrade cannot be enchanted with Magic or boosted with Consumables"
What materials are required to upgrade the Executioner's Greataxe?,"Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Blood Affinity Ashes of War. Elden Ring display values for poison and blood include buildup added by scaling via the Arcane Stat","Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Magic Affinity Ashes of War. This upgrade cannot be enchanted with Magic or boosted with Consumables"
What materials are required to upgrade the Falchion?,"Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Keen Affinity Ashes of War. This upgrade can be enchanted with Magic or boosted with Consumables","Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Fire Affinity Ashes of War. This upgrade cannot be enchanted with Magic or boosted with Consumables"
What materials are required to upgrade the Fingerprint Stone Shield?,"Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Blood Affinity Ashes of War. Elden Ring display values for poison and blood include buildup added by scaling via the Arcane Stat","Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Magic Affinity Ashes of War. This upgrade cannot be enchanted with Magic or boosted with Consumables"
What materials are required to upgrade the Fire Knight's Greatsword?,"Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Blood Affinity Ashes of War. Elden Ring display values for poison and blood include buildup added by scaling via the Arcane Stat","Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Magic Affinity Ashes of War. This upgrade cannot be enchanted with Magic or boosted with Consumables"
What materials are required to upgrade the Fire Knight's Shortsword?,"Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Blood Affinity Ashes of War. Elden Ring display values for poison and blood include buildup added by scaling via the Arcane Stat","Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Magic Affinity Ashes of War. This upgrade cannot be enchanted with Magic or boosted with Consumables"
What materials are required to upgrade the Flail?,"Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone. This upgrade can be enchanted with Magic or boosted with Consumables","Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Magic Affinity Ashes of War. This upgrade cannot be enchanted with Magic or boosted with Consumables"
What materials are required to upgrade the Flamberge?,"Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone. This upgrade can be enchanted with Magic or boosted with Consumables","Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Magic Affinity Ashes of War. This upgrade cannot be enchanted with Magic or boosted with Consumables"
What materials are required to upgrade the Flame Crest Wooden Shield?,"Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone. This upgrade can be enchanted with Magic or boosted with Consumables","Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Magic Affinity Ashes of War. This upgrade cannot be enchanted with Magic or boosted with Consumables"
What materials are required to upgrade the Forked Greatsword?,"Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Blood Affinity Ashes of War. Elden Ring display values for poison and blood include buildup added by scaling via the Arcane Stat","Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Magic Affinity Ashes of War. This upgrade cannot be enchanted with Magic or boosted with Consumables"
What materials are required to upgrade the Forked Hatchet?,"Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Keen Affinity Ashes of War. This upgrade can be enchanted with Magic or boosted with Consumables","Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Magic Affinity Ashes of War. This upgrade cannot be enchanted with Magic or boosted with Consumables"
What materials are required to upgrade the Gargoyle's Great Axe?,"Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Poison Affinity Ashes of War. Elden Ring display values for poison and blood include buildup added by scaling via the Arcane Stat","Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Flame Affinity Ashes of War. This upgrade cannot be enchanted with Magic or boosted with Consumables"
What materials are required to upgrade the Gargoyle's Greatsword?,"Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Poison Affinity Ashes of War. Elden Ring display values for poison and blood include buildup added by scaling via the Arcane Stat","Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Magic Affinity Ashes of War. This upgrade cannot be enchanted with Magic or boosted with Consumables"
What materials are required to upgrade the Gilded Greatshield?,"Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone. This upgrade can be enchanted with Magic or boosted with Consumables","Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Magic Affinity Ashes of War. This upgrade cannot be enchanted with Magic or boosted with Consumables"
What materials are required to upgrade the Gilded Iron Shield?,"Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Blood Affinity Ashes of War. Elden Ring display values for poison and blood include buildup added by scaling via the Arcane Stat","Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Magic Affinity Ashes of War. This upgrade cannot be enchanted with Magic or boosted with Consumables"
What materials are required to upgrade the Glaive?,"Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Quality Affinity Ashes of War. This upgrade can be enchanted with Magic or boosted with Consumables","Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Flame Affinity Ashes of War. This upgrade cannot be enchanted with Magic or boosted with Consumables"
What materials are required to upgrade the Golden Beast Crest Shield?,"Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Blood Affinity Ashes of War. Elden Ring display values for poison and blood include buildup added by scaling via the Arcane Stat","Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Cold Affinity Ashes of War. This upgrade cannot be enchanted with Magic or boosted with Consumables"
What materials are required to upgrade the Golden Greatshield?,"Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Blood Affinity Ashes of War. Elden Ring display values for poison and blood include buildup added by scaling via the Arcane Stat","Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Magic Affinity Ashes of War. This upgrade cannot be enchanted with Magic or boosted with Consumables"
What materials are required to upgrade the Grave Scythe?,"Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone. This upgrade can be enchanted with Magic or boosted with Consumables","Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Magic Affinity Ashes of War. This upgrade cannot be enchanted with Magic or boosted with Consumables"
What materials are required to upgrade the Great Epee?,"Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone. This upgrade can be enchanted with Magic or boosted with Consumables","Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Magic Affinity Ashes of War. This upgrade cannot be enchanted with Magic or boosted with Consumables"
What materials are required to upgrade the Great Katana?,"Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Keen Affinity Ashes of War. This upgrade can be enchanted with Magic or boosted with Consumables","Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Cold Affinity Ashes of War. This upgrade cannot be enchanted with Magic or boosted with Consumables"
What materials are required to upgrade the Great Knife?,"Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone. This upgrade can be enchanted with Magic or boosted with Consumables","Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Magic Affinity Ashes of War. This upgrade cannot be enchanted with Magic or boosted with Consumables"
What materials are required to upgrade the Great Mace?,"Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Keen Affinity Ashes of War. This upgrade can be enchanted with Magic or boosted with Consumables","Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Magic Affinity Ashes of War. This upgrade cannot be enchanted with Magic or boosted with Consumables"
What materials are required to upgrade the Great Omenkiller Cleaver?,"Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Keen Affinity Ashes of War. This upgrade can be enchanted with Magic or boosted with Consumables","Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Magic Affinity Ashes of War. This upgrade cannot be enchanted with Magic or boosted with Consumables"
What materials are required to upgrade the Greataxe?,"Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Keen Affinity Ashes of War. This upgrade can be enchanted with Magic or boosted with Consumables","Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Fire Affinity Ashes of War. This upgrade cannot be enchanted with Magic or boosted with Consumables"
What materials are required to upgrade the Greathorn Hammer?,"Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone. This upgrade can be enchanted with Magic or boosted with Consumables","Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Magic Affinity Ashes of War. This upgrade cannot be enchanted with Magic or boosted with Consumables"
What materials are required to upgrade the Grossmesser?,"Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Keen Affinity Ashes of War. This upgrade can be enchanted with Magic or boosted with Consumables","Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Quality Affinity Ashes of War. This upgrade can be enchanted with Magic or boosted with Consumables"
What materials are required to upgrade the Guardian's Swordspear?,"Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Blood Affinity Ashes of War. Elden Ring display values for poison and blood include buildup added by scaling via the Arcane Stat","Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Magic Affinity Ashes of War. This upgrade cannot be enchanted with Magic or boosted with Consumables"
What materials are required to upgrade the Halberd?,"Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone. This upgrade can be enchanted with Magic or boosted with Consumables","Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Fire Affinity Ashes of War. This upgrade cannot be enchanted with Magic or boosted with Consumables"
What materials are required to upgrade the Haligtree Crest Greatshield?,"Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Blood Affinity Ashes of War. Elden Ring display values for poison and blood include buildup added by scaling via the Arcane Stat","Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Magic Affinity Ashes of War. This upgrade cannot be enchanted with Magic or boosted with Consumables"
What materials are required to upgrade the Hand Axe?,"Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone. This upgrade can be enchanted with Magic or boosted with Consumables","Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Cold Affinity Ashes of War. This upgrade cannot be enchanted with Magic or boosted with Consumables"
What materials are required to upgrade the Hawk Crest Wooden Shield?,"Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Blood Affinity Ashes of War. Elden Ring display values for poison and blood include buildup added by scaling via the Arcane Stat","Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Magic Affinity Ashes of War. This upgrade cannot be enchanted with Magic or boosted with Consumables"
What materials are required to upgrade the Heater Shield?,"Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Keen Affinity Ashes of War. This upgrade can be enchanted with Magic or boosted with Consumables","Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Magic Affinity Ashes of War. This upgrade cannot be enchanted with Magic or boosted with Consumables"
What materials are required to upgrade the Highland Axe?,"Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone. This upgrade can be enchanted with Magic or boosted with Consumables","Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Magic Affinity Ashes of War. This upgrade cannot be enchanted with Magic or boosted with Consumables"
What materials are required to upgrade the Horse Crest Wooden Shield?,"Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Blood Affinity Ashes of War. Elden Ring display values for poison and blood include buildup added by scaling via the Arcane Stat","Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Magic Affinity Ashes of War. This upgrade cannot be enchanted with Magic or boosted with Consumables"
What materials are required to upgrade the Ice Crest Shield?,"Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Blood Affinity Ashes of War. Elden Ring display values for poison and blood include buildup added by scaling via the Arcane Stat","Requires regular reinforcement with Smithing Stone [1] , Smithing Stone [2] , Smithing Stone [3] , Smithing Stone [4] , Smithing Stone [5] , Smithing Stone [6] , Smithing Stone [7] , Smithing Stone [8] , and Ancient Dragon Smithing Stone , as well as Magic Affinity Ashes of War. This upgrade cannot be enchanted with Magic or boosted with Consumables"
